reference;designation;unite;prixBas;prixMoyen;prixHaut;categorie;source;dateMaj;notes
PLAQUETTE-M2;Plaquettes de parement;m2;25;48;75;PAREMENT;Ootravaux distributeurs parement;2026-05-30;Référence demandée
PLAQUETTES-M2;Plaquettes de parement;m2;25;48;75;PAREMENT;Ootravaux distributeurs parement;2026-05-30;Référence technique utilisée par pack
PAREMENT-M2;Parement extérieur moyen;m2;35;60;100;PAREMENT;Ootravaux moyenne PlaqPro;2026-05-30;Fallback générique pack
ANGLE-PAREMENT-U;Angle de parement;u;10;18;35;PAREMENT;Distributeurs parement estimation PlaqPro;2026-05-30;Pièce d'angle ou coupe renforcée
COLLE-PAREMENT-M2;Colle et joints parement;m2;6;9;16;PAREMENT;Distributeurs matériaux estimation PlaqPro;2026-05-30;Consommables pose
GALETS-SAC;Galets décoratifs sac 25kg;sac;8;12;18;PAREMENT;Tourbières de Sucé distributeurs jardin;2026-05-30;Sac 15 à 25 L selon calibre
GALETS-M3;Galets décoratifs;m3;250;390;620;PAREMENT;Tourbières de Sucé tarifs 2026;2026-05-30;Vrac ou big bag selon couleur
GRAVIER-DECO-T;Gravier décoratif par tonne;t;50;130;280;PAREMENT;Tourbières de Sucé Berger et fils 2026;2026-05-30;Très variable selon teinte et origine
GRAVIER-DECO-M3;Gravier décoratif;m3;80;200;420;PAREMENT;Conversion depuis tonne;2026-05-30;Base densité variable 1.5 à 1.7
GAZON-ROUL-M2;Gazon rouleau fourniture seule;m2;6;10;25;VEGETAUX;Gazon Rouleau France AP Gazon AMG Matériaux;2026-05-30;Fourniture seule hors préparation du sol
GAZON-ROULEAU-M2;Gazon rouleau;m2;6;10;25;VEGETAUX;Gazon Rouleau France AP Gazon AMG Matériaux;2026-05-30;Alias catalogue historique
SEMENCES-KG;Semences gazon;kg;7;12;25;VEGETAUX;Distributeurs jardin estimation PlaqPro;2026-05-30;Mélange standard à rustique
SEMENCES-GAZON-KG;Semences gazon;kg;7;12;25;VEGETAUX;Distributeurs jardin estimation PlaqPro;2026-05-30;Alias catalogue historique
SEMENCES-GAZON-M2;Semences gazon au m²;m2;0.5;1.6;3;VEGETAUX;Conversion depuis kg;2026-05-30;Alias pack pour semis incluant consommables
PLANT-MOY;Plant arbuste moyen 40-60cm;u;12;25;45;VEGETAUX;Willemse Jardiland Truffaut estimation;2026-05-30;Plant courant hors sujet premium
PLANT-GRAND;Plant arbuste grand 80-120cm;u;35;65;120;VEGETAUX;Willemse Jardiland Truffaut estimation;2026-05-30;Plant plus développé
OLIVIER-U;Olivier en pot tronc 8-10cm;u;90;180;350;VEGETAUX;Willemse Jardiland Truffaut estimation;2026-05-30;Très variable selon âge et tronc
CORDYLINE-U;Cordyline australis 60cm;u;20;30;55;VEGETAUX;Willemse Jardiland Truffaut estimation;2026-05-30;Pot 2 à 5 L selon fournisseur
ROMARIN-U;Romarin en pot 2L;u;5;8;15;VEGETAUX;Willemse Jardiland Truffaut estimation;2026-05-30;Pot 1.5 à 3 L
ECORCE-PIN-M3;Écorce de pin;m3;35;70;110;PAILLAGE;Tourbières de Sucé Babée Jardin distributeurs;2026-05-30;Vrac ou big bag selon calibre
ECORCE-PIN-M2;Écorce de pin au m²;m2;3;5.6;9;PAILLAGE;Conversion depuis m3;2026-05-30;Alias pack base 8 cm d'épaisseur
POUZZOLANE-M3;Pouzzolane;m3;75;95;130;PAILLAGE;Tourbières de Sucé tarifs 2026;2026-05-30;Vrac ou big bag
ARDOISE-PILEE-M3;Ardoise pilée décorative;m3;190;230;320;PAILLAGE;Tourbières de Sucé tarifs 2026;2026-05-30;Vrac décoratif
PAILLAGE-MINERAL-T;Paillage minéral par tonne;t;80;140;260;PAILLAGE;Tourbières de Sucé Berger et fils 2026;2026-05-30;Selon pierre décorative
PAILLAGE-MINERAL-M3;Paillage minéral;m3;120;210;390;PAILLAGE;Conversion depuis tonne;2026-05-30;Alias catalogue historique
TUYAU-PE-ML;Tuyau PE ø25 au mètre;ml;1.2;2.2;4.5;EAU;Mister Arrosage Mon-Irrigation Entrepôt du Bricolage;2026-05-30;PEBD ou PEHD arrosage enterré
ROBINET-EXT-U;Robinet extérieur laiton;u;18;35;60;EAU;Plomberie-Pro distributeurs bricolage;2026-05-30;Robinet simple laiton hors pose
PROGRAMMATEUR-U;Programmateur arrosage simple;u;30;65;120;EAU;Mister Arrosage Jardiland distributeurs;2026-05-30;Programmateur nez de robinet
GOUTTEUSE-ML;Goutteur intégré au mètre;ml;0.6;1.5;3;EAU;France Arrosage Plomberie-Pro Jardiland;2026-05-30;Tuyau goutte à goutte ou goutteurs intégrés
GOUTTEURS-U;Goutteur individuel;u;0.25;0.45;1.2;EAU;France Arrosage distributeurs irrigation;2026-05-30;Alias catalogue historique
GAINE-ELEC-ML;Gaine électrique extérieure;ml;1.5;3.8;7;EAU;Distributeurs électricité estimation PlaqPro;2026-05-30;Classée EAU pour compatibilité onglets existants
BOITE-ATTENTE-U;Boîte ou attente extérieure;u;15;28;50;EAU;Distributeurs électricité estimation PlaqPro;2026-05-30;Attente hors raccordement électricien
POLYCARBONATE-M2;Plaque polycarbonate;m2;35;55;90;FINITIONS;Distributeurs bricolage estimation PlaqPro;2026-05-30;Fermeture sous balcon
PROFIL-ALU-M2;Profilés aluminium rapportés;m2;12;18;35;FINITIONS;Distributeurs bricolage estimation PlaqPro;2026-05-30;Complément par m2 d'ouvrage spécial
QUINCAILLERIE-U;Quincaillerie ouvrage spécial;u;80;120;220;FINITIONS;Estimation PlaqPro terrain;2026-05-30;Rails visserie accessoires
NETTOYANT-FACADE-L;Nettoyant façade;L;5;8;15;FINITIONS;Distributeurs façade estimation PlaqPro;2026-05-30;Nettoyant ou consommables nettoyage final
